FF,7,5,3,8,0.7253
FF,7,5,3,9,0.6989
FF,7,5,3,10,0.8495
FF,8,5,3,1,0.7019
FF,8,5,3,2,0.6840
FF,8,5,3,3,0.8829
FF,8,5,3,4,0.6925
FF,8,5,3,5,0.6913
FF,8,5,3,6,0.7633
FF,8,5,3,7,0.7278
FF,8,5,3,8,0.7027
FF,8,5,3,9,0.6877
FF,8,5,3,10,0.6773
FF,9,5,3,1,0.6838
FF,9,5,3,2,0.6835
FF,9,5,3,3,0.6529
FF,9,5,3,4,0.6433
FF,9,5,3,5,0.7325
FF,9,5,3,6,0.6742
FF,9,5,3,7,0.6483
FF,9,5,3,8,0.6730
FF,9,5,3,9,0.6569
FF,9,5,3,10,0.6715
